Volume,Hrs,G,GG,GGG,GGGG,G5
1000,0,0.080141268,8.21E-05,2.41E-06,0,0
711.3333333,1,0.078980796,0.008735289,6.52E-05,3.33E-06,0
485,2,0.076540479,0.010325284,0.000130762,3.27E-06,0
305,3,0.076068696,0.010774842,0.000163844,3.85E-06,0
166.3333333,4,0.075913096,0.010591882,0.000198007,8.44E-06,0
88.66666667,5,0.077074194,0.01086829,0.000319459,3.18E-05,0
25.333,6,0.07836563,0.009831725,0.000519381,0.000110256,2.03E-05
0,8,0.077844394,0.009367056,0.000621025,0.00020921,3.76E-05
0,12,0.078948217,0.010013632,0.000636871,0.00023635,3.25E-05
0,14,0.07614176,0.009335125,0.000603566,0.000237786,3.81E-05
0,16,0.074003957,0.009352161,0.000618976,0.000244565,1.81E-05
0,18,0.074713239,0.009571475,0.000648899,0.000278912,2.73E-05
0,20,0.071929805,0.009883737,0.000686775,0.000351861,6.99E-05
0,22,0.07461596,0.009480284,0.000748517,0.000325277,4.99E-05
0,24,0.077167077,0.009480284,0.000748517,0.000325277,4.99E-05
0,30,0.072396808,0.008626023,0.00068504,0.000339744,2.17E-05
