Volume,Hrs,G,GG,GGG,GGGG,G5
0,0,0.003666653,0.000103806,4.18E-06,0,0
69.97380462,1,0.004244717,0.001192989,1.84E-05,5.76E-06,0
16.52271164,2,0.002407953,0.001582836,1.65E-05,5.66E-06,0
7.549834435,3,0.002655606,0.001124442,1.62E-05,6.67E-06,0
13.0511813,4,0.001630422,0.000879137,2.05E-05,2.61E-06,0
9.451631253,5,0.000545797,0.001308541,2.02E-05,4.93E-06,0
3.2146,6,0.002221284,0.000998871,2.82E-05,4.26E-06,3.60E-06
0,8,0.00444768,0.001281473,5.46E-05,6.37E-05,1.74E-05
0,12,0.002530011,0.000163229,1.93E-05,1.03E-05,8.35E-06
0,14,0.002771094,0.000379333,4.31E-05,5.75E-06,8.43E-07
0,16,0.002346273,0.000550516,4.87E-05,2.23E-05,8.04E-06
0,18,0.001159506,0.000505017,2.14E-05,4.68E-05,7.44E-06
0,20,0.000548861,0.000880066,0.000100716,5.37E-05,6.97E-06
0,22,0.000994948,0.001307547,0.000142368,7.78E-05,2.76E-06
0,24,0.000787567,0.001009829,6.30E-05,0.000104394,3.41E-05
0,30,0.000184009,0.000406157,5.36E-05,6.57E-05,1.19E-05
