Time,G,GG,G3,G4,G5
0,0.093699925,9.97E-06,1.45E-05,7.76E-06,0
1,0.080314974,0.011229064,0.000729431,0.000316758,3.86E-05
2,0.081314392,0.009522217,0.001033182,0.000339764,3.73E-05
3,0.078912852,0.009320451,0.000983162,0.000406071,6.53E-05
4,0.081242504,0.009593651,0.001262642,0.000504991,0.000100447
5,0.081503264,0.00759369,0.001373734,0.000490003,0.000121912
7,0.086060501,0.006968041,0.001336721,0.00048902,0.00012339
8,0.079387148,0.006692923,0.001565445,0.00053649,0.000165894
11,0.078111554,0.005874674,0.001579758,0.000579663,0.000215732
14,0.071036495,0.005145331,0.001734131,0.001135537,0.000372214
18,0.077130185,0.004266309,0.001728129,0.00066068,0.00039043
