Time,G,GG,GGG,GGGG,G5
0,0.003101302,5.19E-06,7.35E-07,2.99E-06,0
1,0.002760203,2.81E-04,1.71E-05,1.11E-05,1.98E-06
2,0.006685856,1.60E-03,0.000163492,5.94E-05,6.38E-06
3,0.000584249,1.28E-04,2.59E-05,5.50E-06,2.29E-06
4,0.000567818,4.44E-04,6.36E-05,4.74E-05,9.44E-06
5,0.001587901,0.000748259,0.000110925,3.60E-05,2.35E-05
7,0.001842342,0.000471022,0.000132282,7.55E-05,2.48E-05
8,0.001185633,0.000417668,3.68E-05,3.18E-05,1.31E-05
11,0.002396642,0.00011541,0.00010548,8.06E-05,1.37E-05
14,0.027215657,0.000782164,0.000359687,0.001119663,0.000137261
18,0.001051426,9.64E-05,2.61E-05,1.61E-05,2.99E-06
