Treatments,Time,G,GG,GGG,GGGG
GG24_NoDry,0,0.000126364,0.083221701,6.58E-06,1.17E-05
GG24_NoDry,1,0.00100385,0.112232281,1.30E-05,4.15E-05
GG24_NoDry,2,0.001756661,0.112181652,4.00E-05,6.81E-05
GG24_NoDry,3,0.001710519,0.11523319,7.32E-05,7.33E-05
GG24_NoDry,4,0.002612456,0.115637665,0.00010957,7.96E-05
GG24_NoDry,5,0.003058642,0.109805822,0.000128625,9.31E-05
GG24_NoDry,6,0.002994383,0.108470281,0.000161825,1.11E-04
GG24_NoDry,8,0.004206492,0.105153625,2.24E-04,0.00012094
GG24,0,0.000244301,1.16E-01,7.43E-06,1.42E-05
GG24,1,0.000345965,1.11E-01,1.22E-05,2.45E-05
GG24,3,0.000243687,0.105805334,1.24E-05,5.98E-05
GG24,4,0.00030758,1.07E-01,1.55E-05,0.000329451
G24_NoDrying,0,0.080141268,9.57E-05,2.41E-06,0
G24_NoDrying,1,0.080115382,1.03E-02,5.79E-05,0
G24_NoDrying,2,0.081595101,1.23E-02,0.000110131,0
G24_NoDrying,3,0.079734024,0.012094209,0.000121972,0
G24_NoDrying,4,0.072884776,0.011112351,0.000114617,0
G24_NoDrying,5,0.071287673,0.010312418,0.000107401,0
G24_NoDrying,6,0.071691024,0.010358631,0.000107467,0
G24_NoDrying,8,0.078857136,0.013240545,0.000144167,0
Gly24,0,0.080141268,9.57E-05,2.41E-06,0
Gly24,1,0.078980796,0.010179868,6.52E-05,3.33E-06
Gly24,2,0.076540479,0.012032805,0.000130762,3.27E-06
Gly24,3,0.076068696,0.012556708,0.000163844,3.85E-06
Gly24,4,0.075913096,0.01234349,0.000198007,8.44E-06
GlyIter_1d,0,0.076684538,0.007694623,0.000547515,0.000312015
GlyIter_1d,1,0.059585928,0.010618243,0.000500065,0.000288181
GlyIter_1d,2,0.055720149,0.011238309,0.000536829,0.000265194
GlyIter_1d,4,0.05813545,0.012286158,0.000584639,0.000259745
